item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,business-price,"quantity price type","quantity lower bound 1","quantity price 1","quantity lower bound 2","quantity price 2","quantity lower bound 3","quantity price 3","quantity lower bound 4","quantity price 4","quantity lower bound 5","quantity price 5",merchant-shipping-group
"Galaxy s5 Case, [Heavy Duty] Galaxy s5 Armor cases- [Eternity Series] Tough [...","Premium galaxy s5 Hard Armorbox Dual Layer Hybrid Case With Screen Protector from Cable and Case. It's ultra light weight with jelly grip, but takes a beating. Offers amazing protection for your galaxy s5! Great for construction workers, contractors, and people who are just plain tough on their phone.",0519O0H4CUF,1-galaxy-s5-armor-black,9.99,120,"2014-05-19 14:06:53 PDT",,y,3,,,11,,,,B00KFNH5MS,,,1,N,,035127965772,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"Cable and Case Eternity Series Dual Layer Hybrid Rubber Armor Case for Galaxy...","Premium galaxy s5 Hard Armorbox Dual Layer Hybrid Case With Screen Protector from Cable and Case. It's ultra light weight with jelly grip, but takes a beating. Offers amazing protection for your galaxy s5! Great for construction workers, contractors, and people who are just plain tough on their phone.",0519O0H3O63,1-galaxy-s5-armor-blue,14.99,117,"2014-05-19 14:06:40 PDT",,y,3,,,11,,,,B00KFNGTTS,,,1,N,,035127965758,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"Galaxy s5 Case, [Heavy Duty] Galaxy s5 Armor cases- [Eternity Series] Tough [...","Premium galaxy s5 Hard Armorbox Dual Layer Hybrid Case With Screen Protector from Cable and Case. It's ultra light weight with jelly grip, but takes a beating. Offers amazing protection for your galaxy s5! Great for construction workers, contractors, and people who are just plain tough on their phone.",0519O0H40D9,1-galaxy-s5-armor-green,14.99,81,"2014-05-19 14:06:47 PDT",,y,3,,,11,,,,B00KFNGZSI,,,1,N,,035127965765,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"Galaxy s5 Case, [Heavy Duty] Galaxy s5 Armor cases- [Eternity Series] Tough [...","Premium galaxy s5 Hard Armorbox Dual Layer Hybrid Case from Cable and Case®. It's ultra light weight with jelly grip, but takes a beating. Offers amazing protection for your galaxy s5! Great for construction workers, contractors, and people who are just plain tough on their phone.",0519O0H4N1X,1-galaxy-s5-armor-pink,14.99,42,"2014-05-19 14:07:02 PDT",,y,3,,,11,,,,B00KFNGWOU,,,1,N,,035127965789,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"Galaxy s5 Case, [Heavy Duty] Galaxy s5 Armor cases- [Eternity Series] Tough [...","Premium galaxy s5 Hard Armorbox Dual Layer Hybrid Case With Screen Protector from Cable and Case. It's ultra light weight with jelly grip, but takes a beating. Offers amazing protection for your galaxy s5! Great for construction workers, contractors, and people who are just plain tough on their phone.",0519O0H49WL,1-galaxy-s5-armor-purple,14.99,14,"2014-05-19 14:06:54 PDT",,y,3,,,11,,,,B00KFNH6AE,,,1,N,,035127965802,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"Galaxy s5 Case, [Heavy Duty] Galaxy s5 Armor cases- [Eternity Series] Tough [...","Premium galaxy s5 Hard Armorbox Dual Layer Hybrid Case With Screen Protector from Cable and Case. It's ultra light weight with jelly grip, but takes a beating. Offers amazing protection for your galaxy s5! Great for construction workers, contractors, and people who are just plain tough on their phone.",0519O0H3XRX,1-galaxy-s5-armor-white,14.99,130,"2014-05-19 14:06:43 PDT",,y,5,,,11,,,,B00KFNH1AY,,,1,N,,5533E745E64028C6,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"iPhone 5C Case, iPhone 5C cases- [2 PACK] Black Phone Case 5c Soft Skin Case ...","2 Cases & 2 Screen Protectors Included - Premium iPhone 5C TPU case from Cable and Case. It\\\\\\\\\\\\\\\'s ultra light weight and tons of jelly grip. Offers amazing protection for your iPhone 5C! Adds almost no bulk to your phone Perfect fit with laser cut port, camera, and headphone jack holes. Compatibile with the new iPhone5C for Verizon, AT&T , Sprint, T-Mobile, And All International Carriers.These are truly imaginative and durable cases, whether you?re looking for something sleek and chic, virtually indestructible or just downright fun, these are the 5C phone cases for you! We offer great colors for your new iPhone 5C: Black, Blue, Green, White, Pink, and Yellow. These cases are slim and hard, but offer a clear advantage with great shock and drop protection. Full button protection is a must but access to your 5 C!",0415OAB1WVF,2-iphone-5c-cases-cc-black,6.99,29,"2014-04-14 23:28:08 PDT",,y,1,,,11,,,,B00HFYAJY6,,,1,N,,B00HFYAJY6,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"iPhone 5C Case, iPhone 5C cases- Phone Case 5c Soft Skin Case For The New iPh...","2 Casesss & 2 Screen Protectors Included - Premium iPhone 5C TPU case from Cable and Case. It\\\'s ultra light weight and tons of jelly grip. Offers amazing protection for your iPhone 5C! Adds almost no bulk to your phone Perfect fit with laser cut port, camera, and headphone jack holes. Compatibile with the new iPhone5C for Verizon, AT&T , Sprint, T-Mobile, And All International Carriers.These are truly imaginative and durable cases, whether you?re looking for something sleek and chic, virtually indestructible or just downright fun, these are the 5C phone cases for you! We offer great colors for your new iPhone 5C: Black, Blue, Green, White, Pink, and Yellow. These cases are slim and hard, but offer a clear advantage with great shock and drop protection. Full button protection is a must but access to your 5 C!",0415OAB20RF,2-iphone-5c-cases-cc-green,6.99,101,"2014-04-14 23:28:17 PDT",,y,1,,,11,,,,B00HFYAUAY,,,1,N,,B00HFYAUAY,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"iPhone 5C Case, iPhone 5C cases- [2 PACK] White Phone Case 5c Soft Skin Case ...","2 Cases & 2 Screen Protectors Included - Premium iPhone 5C TPU case from Cable and Case. It's ultra light weight and tons of jelly grip. Offers amazing protection for your iPhone 5C! Adds almost no bulk to your phone Perfect fit with laser cut port, camera, and headphone jack holes. Compatibile with the new iPhone5C for Verizon, AT&T , Sprint, T-Mobile, And All International Carriers.These are truly imaginative and durable cases, whether youÕre looking for something sleek and chic, virtually indestructible or just downright fun, these are the 5C phone cases for you! We offer great colors for your new iPhone 5C: Black, Blue, Green, White, Pink, and Yellow. These cases are slim and hard, but offer a clear advantage with great shock and drop protection. Full button protection is a must but access to your 5 C!",0415OAB1YGX,2-iphone-5c-cases-cc-white,6.99,23,"2014-04-14 23:28:12 PDT",,y,3,,,11,,,,B00JP3NW4Y,,,1,N,,035127965192,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"iPhone 5C Case, iPhone 5C cases- Phone Case 5c Soft Skin Case For The New iPh...","2 Cases & 2 Screen Protectors Included - Premium iPhone 5C TPU case from Cable and Case. It's ultra light weight and tons of jelly grip. Offers amazing protection for your iPhone 5C! Adds almost no bulk to your phone Perfect fit with laser cut port, camera, and headphone jack holes. Compatibile with the new iPhone5C for Verizon, AT&T , Sprint, T-Mobile, And All International Carriers.These are truly imaginative and durable cases, whether youÕre looking for something sleek and chic, virtually indestructible or just downright fun, these are the 5C phone cases for you! We offer great colors for your new iPhone 5C: Black, Blue, Green, White, Pink, and Yellow. These cases are slim and hard, but offer a clear advantage with great shock and drop protection. Full button protection is a must but access to your 5 C!",0415OAB21OR,2-iphone-5c-cases-cc-yellow,7.99,183,"2014-04-14 23:28:21 PDT",,y,3,,,11,,,,B00JP3O1OY,,,1,N,,035127965222,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"iPhone 5C Case, iPhone 5C Cases [2 Pack] - iPhone 5C Soft Skin Case For The N...","Cases &amp; Screen Protectors Included - Premium iPhone 5C TPU case from Cable and Case®. It&apos;s ultra light weight and tons of jelly grip. Offers amazing protection for your iPhone 5C! Adds almost no bulk to your phone Perfect fit with laser cut port, camera, and headphone jack holes. Compatible with the new iPhone5C for Verizon, AT&amp;T , Sprint, T-Mobile, And All International Carriers.These are truly imaginative and durable cases, whether you&apos;re looking for something sleek and chic, virtually indestructible or just downright fun, these are the 5C phone cases for you! We offer great colors for your new iPhone 5C: Black, Blue, Green, White, Pink, and Yellow. These cases are slim and hard, but offer a clear advantage with great shock and drop protection. Full button protection is a must but access to your 5 C!",0107PK83NUL,2iphone-5c-cases-cc-blue,6.99,191,"2015-01-07 13:38:29 PST",,y,3,,,11,,,,B00HG078IE,,,1,N,,035127965246,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"iPhone 5C Case, iPhone 5C cases- Phone Case 5c Soft Skin Case For The New iPh...","2 Cases & 2 Screen Protectors Included - Premium iPhone 5C TPU case from Cable and Case. It's ultra light weight and tons of jelly grip. Offers amazing protection for your iPhone 5C! Adds almost no bulk to your phone Perfect fit with laser cut port, camera, and headphone jack holes. Compatibile with the new iPhone5C for Verizon, AT&T , Sprint, T-Mobile, And All International Carriers.These are truly imaginative and durable cases, whether youÕre looking for something sleek and chic, virtually indestructible or just downright fun, these are the 5C phone cases for you! We offer great colors for your new iPhone 5C: Black, Blue, Green, White, Pink, and Yellow. These cases are slim and hard, but offer a clear advantage with great shock and drop protection. Full button protection is a must but access to your 5 C!",1221NEPUKPR,2iphone-5c-cases-cc-pnk,6.99,26,"2013-12-21 10:40:12 PST",,y,3,,,11,,,,B00HGHF4Q0,,,1,N,,035127965253,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"S4 Case, Samsung Galaxy S4 Case [2 Pack] -[Crystal Clear Hard Shell]- Compati...","Manufactured from premium-quality TPU, a sturdy, long-lasting material which provides enduring protection from harm, this Samsung Galaxy S4 case is a professional and understated option for ensuring that Samsung's new flagship handset remains in top-notch condition. The case is easy to use: a plastic internal holder in its body allows the Samsung Galaxy S4 to be held securely in place at all times, providing increased stability during operation. Unlike many cases and covers, which can add excess weight, the Samsung Galaxy S4 case is made to be as lightweight and unobtrusive as possible, ensuring that the user experience is as comfortable and as streamlined as it can be. The Samsung Galaxy S4 case has a number of convenient cut-out ports in the back of its frame, enabling constant access to the 13 Megapixel camera of the Galaxy SIV. As a soft case, though, one of the chief utility features of the Samsung Galaxy S4 case is the side grip packaged into its frame, which enable you to keep your phone securely protected as your Smartphone moves in your hand",0917OWY84RX,2pk-galaxy-s4-case-shell-clr,12.99,20,"2014-09-17 15:38:35 PDT",,y,3,,,11,,,,B00N3BRHWC,,,1,N,,035127966250,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
"Galaxy S4 Case, Galaxy S4 Cases- [2 Pack] Compatible With Samsung Galaxy S4 S...","Manufactured from premium-quality TPU, a sturdy, long-lasting material which provides enduring protection from harm, this Samsung Galaxy S4 case is a professional and understated option for ensuring that Samsung's new flagship handset remains in top-notch condition. The case is easy to use: a plastic internal holder in its body allows the Samsung Galaxy S4 to be held securely in place at all times, providing increased stability during operation. Unlike many cases and covers, which can add excess weight, the Samsung Galaxy S4 case is made to be as lightweight and unobtrusive as possible, ensuring that the user experience is as comfortable and as streamlined as it can be. The Samsung Galaxy S4 case has a number of convenient cut-out ports in the back of its frame, enabling constant access to the 13 Megapixel camera of the Galaxy SIV. As a soft case, though, one of the chief utility features of the Samsung Galaxy S4 case is the side grip packaged into its frame, which enable you to keep your phone securely protected as your Smartphone moves in your hand",0917OWYNPCR,2pk-galaxy-s4-case-skin-black,12.99,50,"2014-09-17 15:57:58 PDT",,y,3,,,11,,,,B00N3ERAZ8,,,1,N,,035127966175,,,0,DEFAULT,,,,,,,,,,,,,"Default Amazon Template"
